"arquivo_relativo","status","detalhe"
"assistant\sessionHistory.ts","conteudo_diferente","hash_diferente"
"bootstrap\state.ts","conteudo_diferente","hash_diferente"
"bridge\bridgeApi.ts","conteudo_diferente","hash_diferente"
"bridge\bridgeConfig.ts","conteudo_diferente","hash_diferente"
"bridge\bridgeDebug.ts","conteudo_diferente","hash_diferente"
"bridge\bridgeEnabled.ts","conteudo_diferente","hash_diferente"
"bridge\bridgeMain.ts","conteudo_diferente","hash_diferente"
"bridge\bridgeMessaging.ts","conteudo_diferente","hash_diferente"
"bridge\bridgePermissionCallbacks.ts","conteudo_diferente","hash_diferente"
"bridge\bridgePointer.ts","conteudo_diferente","hash_diferente"
"bridge\bridgeStatusUtil.ts","conteudo_diferente","hash_diferente"
"bridge\bridgeUI.ts","conteudo_diferente","hash_diferente"
"bridge\capacityWake.ts","conteudo_diferente","hash_diferente"
"bridge\codeSessionApi.ts","conteudo_diferente","hash_diferente"
"bridge\createSession.ts","conteudo_diferente","hash_diferente"
"bridge\debugUtils.ts","conteudo_diferente","hash_diferente"
"bridge\envLessBridgeConfig.ts","conteudo_diferente","hash_diferente"
"bridge\flushGate.ts","conteudo_diferente","hash_diferente"
"bridge\inboundAttachments.ts","conteudo_diferente","hash_diferente"
"bridge\inboundMessages.ts","conteudo_diferente","hash_diferente"
"bridge\initReplBridge.ts","conteudo_diferente","hash_diferente"
"bridge\jwtUtils.ts","conteudo_diferente","hash_diferente"
"bridge\pollConfig.ts","conteudo_diferente","hash_diferente"
"bridge\pollConfigDefaults.ts","conteudo_diferente","hash_diferente"
"bridge\remoteBridgeCore.ts","conteudo_diferente","hash_diferente"
"bridge\replBridge.ts","conteudo_diferente","hash_diferente"
"bridge\replBridgeHandle.ts","conteudo_diferente","hash_diferente"
"bridge\replBridgeTransport.ts","conteudo_diferente","hash_diferente"
"bridge\sessionIdCompat.ts","conteudo_diferente","hash_diferente"
"bridge\sessionRunner.ts","conteudo_diferente","hash_diferente"
"bridge\trustedDevice.ts","conteudo_diferente","hash_diferente"
"bridge\types.ts","conteudo_diferente","hash_diferente"
"bridge\workSecret.ts","conteudo_diferente","hash_diferente"
"buddy\companion.ts","conteudo_diferente","hash_diferente"
"buddy\CompanionSprite.tsx","conteudo_diferente","hash_diferente"
"buddy\prompt.ts","conteudo_diferente","hash_diferente"
"buddy\sprites.ts","conteudo_diferente","hash_diferente"
"buddy\types.ts","conteudo_diferente","hash_diferente"
"buddy\useBuddyNotification.tsx","conteudo_diferente","hash_diferente"
"cli\exit.ts","conteudo_diferente","hash_diferente"
"cli\handlers\agents.ts","conteudo_diferente","hash_diferente"
"cli\handlers\auth.ts","conteudo_diferente","hash_diferente"
"cli\handlers\autoMode.ts","conteudo_diferente","hash_diferente"
"cli\handlers\mcp.tsx","conteudo_diferente","hash_diferente"
"cli\handlers\plugins.ts","conteudo_diferente","hash_diferente"
"cli\handlers\util.tsx","conteudo_diferente","hash_diferente"
"cli\ndjsonSafeStringify.ts","conteudo_diferente","hash_diferente"
"cli\print.ts","conteudo_diferente","hash_diferente"
"cli\remoteIO.ts","conteudo_diferente","hash_diferente"
"cli\structuredIO.ts","conteudo_diferente","hash_diferente"
"cli\transports\ccrClient.ts","conteudo_diferente","hash_diferente"
"cli\transports\HybridTransport.ts","conteudo_diferente","hash_diferente"
"cli\transports\SerialBatchEventUploader.ts","conteudo_diferente","hash_diferente"
"cli\transports\SSETransport.ts","conteudo_diferente","hash_diferente"
"cli\transports\transportUtils.ts","conteudo_diferente","hash_diferente"
"cli\transports\WebSocketTransport.ts","conteudo_diferente","hash_diferente"
"cli\transports\WorkerStateUploader.ts","conteudo_diferente","hash_diferente"
"cli\update.ts","conteudo_diferente","hash_diferente"
"commands.ts","conteudo_diferente","hash_diferente"
"commands\add-dir\add-dir.tsx","conteudo_diferente","hash_diferente"
"commands\add-dir\index.ts","conteudo_diferente","hash_diferente"
"commands\add-dir\validation.ts","conteudo_diferente","hash_diferente"
"commands\advisor.ts","conteudo_diferente","hash_diferente"
"commands\agents\agents.tsx","conteudo_diferente","hash_diferente"
"commands\agents\index.ts","conteudo_diferente","hash_diferente"
"commands\ant-trace\index.js","conteudo_diferente","hash_diferente"
"commands\autofix-pr\index.js","conteudo_diferente","hash_diferente"
"commands\backfill-sessions\index.js","conteudo_diferente","hash_diferente"
"commands\branch\branch.ts","conteudo_diferente","hash_diferente"
"commands\branch\index.ts","conteudo_diferente","hash_diferente"
"commands\break-cache\index.js","conteudo_diferente","hash_diferente"
"commands\bridge\bridge.tsx","conteudo_diferente","hash_diferente"
